Date,Actual Units Sold,Predicted Units Sold,Error,Absolute Error
2023-08-10,59,26.969853439269514,32.030146560730486,32.030146560730486
2023-08-10,211,173.04120140811847,37.95879859188153,37.95879859188153
2023-08-10,37,27.691961621494897,9.308038378505103,9.308038378505103
2023-08-10,105,68.56984661498302,36.43015338501698,36.43015338501698
2023-08-10,459,246.52710671561687,212.47289328438313,212.47289328438313
2023-08-10,17,73.63306556923612,-56.63306556923612,56.63306556923612
2023-08-10,49,31.902295682923295,17.097704317076705,17.097704317076705
2023-08-10,120,80.61040344439289,39.38959655560711,39.38959655560711
2023-08-10,211,119.77002746548368,91.22997253451632,91.22997253451632
2023-08-10,272,184.95286464216713,87.04713535783287,87.04713535783287
2023-08-10,212,135.7924158514042,76.2075841485958,76.2075841485958
2023-08-10,155,84.09587235598315,70.90412764401685,70.90412764401685
2023-08-10,367,211.04463845054812,155.95536154945188,155.95536154945188
2023-08-10,16,153.29016576853064,-137.29016576853064,137.29016576853064
2023-08-10,206,210.58688982819098,-4.5868898281909765,4.5868898281909765
2023-08-10,287,220.461309489783,66.53869051021701,66.53869051021701
2023-08-10,95,178.347563439132,-83.34756343913199,83.34756343913199
2023-08-10,1,130.02076926054457,-129.02076926054457,129.02076926054457
2023-08-10,145,223.22524462289562,-78.22524462289562,78.22524462289562
2023-08-10,58,67.13095059872114,-9.130950598721142,9.130950598721142
2023-08-10,145,95.70880934756872,49.29119065243128,49.29119065243128
2023-08-10,403,199.1804633403387,203.8195366596613,203.8195366596613
2023-08-10,200,115.49194290078606,84.50805709921394,84.50805709921394
2023-08-10,184,143.43581221254266,40.56418778745734,40.56418778745734
2023-08-10,49,39.094067538107424,9.905932461892576,9.905932461892576
2023-08-10,223,201.6153954022434,21.384604597756606,21.384604597756606
2023-08-10,37,72.69765159642157,-35.697651596421565,35.697651596421565
2023-08-10,52,83.74013323368979,-31.74013323368979,31.74013323368979
2023-08-10,63,213.08783420932002,-150.08783420932002,150.08783420932002
2023-08-10,274,195.50972179443528,78.49027820556472,78.49027820556472
2023-08-10,79,194.3619507512269,-115.36195075122691,115.36195075122691
2023-08-10,28,40.342107151455366,-12.342107151455366,12.342107151455366
2023-08-10,70,46.075461422663466,23.924538577336534,23.924538577336534
2023-08-10,71,95.41237318193544,-24.412373181935436,24.412373181935436
2023-08-10,251,219.43213521519817,31.567864784801827,31.567864784801827
2023-08-10,129,65.56380925139695,63.43619074860305,63.43619074860305
2023-08-10,51,107.44281636638812,-56.442816366388115,56.442816366388115
2023-08-10,314,178.36924910223053,135.63075089776947,135.63075089776947
2023-08-10,168,165.76896284815774,2.2310371518422585,2.2310371518422585
